Response Id,Status,Completed Date,1. Why Did You Stay With Us?,2. How Did You Hear About Us? - Stayed Previously,3. How Did You Hear About Us? - Recommendation/Word Of Mouth,4. how did you hear about us? - lewtrenchard manor emails,5. How Did You Hear About Us? - Advertisement,6. How Did You Hear About Us? - Www.Lewtrenchard.Co.Uk,7. How Did You Hear About Us? - Internet Searches (E.G. Google  Yahoo  Etc.),8. How Did You Hear About Us? - Magazine/Newspaper Article,9. How Did You Hear About Us? - Organisation Booked,10. How Did You Hear About Us? - Social Media (E.G. Facebook  Twitter  Etc),11. How Did You Hear About Us? - Trip Advisor,12. How Did You Hear About Us? - Other,13. How Did You Make Your Reservation?,14. Your Overall Experience At Lewtrenchard Manor?,15. Stay At Lewtrenchard Manor In The Future?,16. Recommend Lewtrenchard Manor To Your Friends And/Or Colleagues?,17. How Would You Summarise Your Experience At Lewtrenchard Manor?,18. The Staff Were Friendly  Welcoming And Professional,19. The Ambience  Design And Interior Decoration Appealed To Me,20. The Atmosphere Was Warm And Friendly,21. Do You Have Any Other Comments Regarding Your Arrival And/Or Any Pre Arrival Contact?,22. The Room Was Luxurious And Well Appointed,23. There Was A Good Selection Of Products In My Bathroom,24. The Room Was Cleaned To A High Standard,25. Do You Have Any Other Comments Regarding Your Bedroom/Suite? Please Start Your Comment With Your Room/Suite Number.,26. Did You Dine With Us?,27. Did You Use The Spa Facilities?,28. Where Did You Dine? - Table D’Hôte,29. Where Did You Dine? - Tasting Menu,30. Where Did You Dine? - Bar Menu,31. Where Did You Dine? - Private Dining,32. Where Did You Dine? - Function Room,33. The Food Was Excellent,34. The Service Was Friendly & Professional,35. The Overall Dining Experience Was Exceptional,36. Do You Have Any Other Comments Regarding Lewtrenchard Manor As A Dining Venue?,37. Why Did You Visit The Spa At Lewtrenchard Manor?,38. The Staff Were Friendly And Professional,39. The Facilities Were Of A High Standard,40. The Overall Spa Experience Was Exceptional,41. The Quality Of The Treatments Were Of A High Standard,42. Do You Have Any Other Comments Regarding The Spa At Lewtrenchard Manor?,43. There Was Appropriate Meeting Support Material In The Room (E.G. Flip Charts  Pens  Etc.),44. We Were Able To Access The Internet Easily,45. Refreshments Were Delivered As Requested,46. Our Business Meeting Requirements Were Met,47. Do You Have Any Other Comments Regarding Lewtrenchard Manor As A Business Venue?,48. Were Polite And Courteous At All Times,49. Were Attentive To My Needs,50. Made Me Feel Well Looked After,51. Was There Any Particular Member Of The Team You Would Like To Acknowledge And Why?,52. You Were Sad To Leave,53. The Final Account Was Accurate,54. How Did Your Experience With Us Meet With Your Expectations?,55. Was There Anything Else That We Could Have Done To Enhance Your Overall Experience?,56. Do You Have Any Further Comments?,57. What Is Your Gender?,58. Which Of The Following Ranges Includes Your Age?,59. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Special Offers,60. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Accommodation,61. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Restaurant,62. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Weddings,63. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Events,64. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Conferences,65. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Relaxation Therapy,66. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Christmas,67. Please Complete The Following (Optional):,68. If You Do Not Want Us To Publish Your Review Online... - ... Please Select The Box
30,Partial,21/12/2013 05:41,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Other: ,Good,Yes,Yes,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Complete,21/12/2013 10:07,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Very Welcoming And Relaxing Short Break Where We Were Taken Care Of Superbly.,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,We Would Always Prefer To Have A Courtesy Tray With Tea/Coffee/Kettle/Fresh Milk/Bottled Water/Biscuits In Our Room. We Would Also Always Desire To Have A Small Fridge Or Mini Bar. ,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,Met,See Comments Above,,Male,55-64,,,,,,,,,Steve And Jane Epperson,
32,Complete,22/12/2013 02:13,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Good,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Agree,,Yes,,,,,,,Agree,Strongly Agree,Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Met,,,Male,55-64,,,,,,,,,David Bryant,... Please Select The Box
33,Complete,22/12/2013 06:13,Business/Meeting,,,,,,,,,,,Local To Area,Other: ,Excellent,Definitely Yes,Definitely Yes,Very Good Service. ,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Strongly Agree,,No,,,,,,,,,,,,,,,,,,Strongly Agree,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,Exceeded,,,Male,35-44,,,,,,,,,,... Please Select The Box
34,Complete,22/12/2013 12:34,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Other: ,Excellent,Definitely Yes,Definitely Yes,Very Relaxing And A Real 'Treat' Excellent Staff Vey Professional,Strongly Agree,Strongly Agree,Strongly Agree,Excellent Mince Pie!!,Strongly Agree,Agree,Strongly Agree,Needs A Rail For Towel Next To Shower As I Had To Petition The Floor  We Liked The Bath   Room For !,No,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Disagree,Exceeded,Would Prefer By Breakfast 'Haddock And Egg' On A Plate As It Was Hard To Eat  Out Of A Dish (Although It Looked Good!)And Impossible To Have 'On Toast' As Would Have Been My Preference ,We Have Never Stayed In A 'Posh' Hotel Before As Generally It Is Beyond Our Means  However We Felt It Was  For Many And Worth Saving For   A Real Treat!  Your Staff Put Us At Ease Even Though We Are Not Familiar With Correct Etiquette For A Smart Hotel.,Female,45-54,Special Offers,,Restaurant,,,,,,Tim And Sarah Earle-Marsh,
35,Complete,22/12/2013 16:12,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,,Definitely Yes,Lovely Welcoming Environment With Roaring Fires When Outside Was A Raging Storm And Driving Rain.  Charming Staff  Attentive Management  Spacious And Comfortable Bedroom  Delicious Food.   The House Wraps Itself Round You.,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Strongly Agree,Stayed In The Nonnington - Lovely Room.  Time To Do Some Selective Redecoration Soon.  Leaded Windows Leaked During The Storm.  Very Comfortable Bed.  Would Have Liked A Personal Safe.  But These Are All Small Issues.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Agree,Some Chairs Need Reglueing - Movement In Them.  Again A Small Issue.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Duncan And His Assistance With The Stairlift.  Both Young Men Who Served Us In The Restaurant. Thank You Also For Taking My Butter Sensitivity Seriously. ,Agree,Agree,Exceeded,,,Female,65+,,,,,,,,,Rouse,
36,Complete,23/12/2013 03:55,Leisure,,,,,Www.Lewtrenchard.Co.Uk,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Simply Charming,Strongly Agree,Strongly Agree,Strongly Agree,Always A Pleasure To Visit,Strongly Agree,Strongly Agree,Strongly Agree,The St Gertrude Suite Was Delightful,Yes,,Table D’Hôte,,,,,Agree,Strongly Agree,Strongly Agree,We Were The Only Ones There  Home From Home,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,All Staff And The Kitchens As They Sometimes Get Left Out,Strongly Agree,Agree,Exceeded,Not A Thing,We Can Only Take Advantage Of A One Night Stay And Would Be Pleased To Have Info On Special Rates On This Basis. You Did A Special Offer For Three Nights But We Counld Not Take Advantage Of That Due To Reasons Above. I Was Going To Tell The Staff When We Visit For Lunch Monday 30Th December With Guests.We Look Forward To The Visit,Male,55-64,Special Offers,,Restaurant,,Events,,,,Mr And Mrs Dagworthy,... Please Select The Box
37,Complete,23/12/2013 05:01,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Www.Lewtrenchard.Co.Uk,Excellent,Yes,Yes,Lovely Stay  The Only Criticism  Constructively I Hope  Is Some Back Ground Music Is Needed  Especially In The Bar Area. Maybe A Pianist In The Dining Room,Strongly Agree,Strongly Agree,Strongly Agree,All Excellent  We Thought Jenny And All The Staff Were Great,Agree,Neither Agree Nor Disagree,Agree,,Yes,,Table D’Hôte,,,,,Agree,Strongly Agree,Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,All Staff Were Excellent ,Neither Agree Nor Disagree,Strongly Agree,Met,As Mentioned Before  Background Music In The Bar Area,,Male,45-54,,,,,,,,,,
38,Partial,28/12/2013 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Complete,01/01/2014 14:12,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Www.Lewtrenchard.Co.Uk,Excellent,Yes,Yes,Warm  Luxurious  Cosy  ,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Agree,The Food Was Absolutely Fabulous.  Worthy Of A Michelin Star. We Loved All The Extra Courses.  Delicious.  It Was A Bit Drafty When The Door To The Kitchen Was Left Open.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Exceeded,If You Are Not Going To Have Tea And Coffee Making Facilities In Rooms  I Think That Tea And Coffee Should Be Freely Available.,,Female,45-54,Special Offers,,,,,,,,Ruth Hills,
40,Complete,06/01/2014 06:29,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Excellent Quality Of Everything.,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Exceeded,,,Male,45-54,,,,,,,,,Steve Flavell,... Please Select The Box
41,Complete,06/01/2014 06:49,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Other: ,Excellent,Yes,Definitely Yes,Excellent Service Throughout And Very Welcoming.  A Beautiful Hotel  It Was Just A Shame The Weather Was So Awful That It Curtailed Our Stay As Our Intention Was To Arrive Much Earlier And Look Around The Area.  If Visiting Devon Again  Would Definitely Revisit.,Strongly Agree,Strongly Agree,Strongly Agree,Very Efficient ,Strongly Agree,Strongly Agree,Strongly Agree,Very Comfortable Bed.,Yes,,Table D’Hôte,,,,,Agree,Strongly Agree,Neither Agree Nor Disagree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Everyone Throughout The Hotel Was Very Welcoming  Professional And Efficient.,Neither Agree Nor Disagree,Strongly Agree,Exceeded,,,Female,45-54,,,,,,,,,,... Please Select The Box
42,Complete,06/01/2014 07:06,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Tranquil  Relaxing  Homely,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Agree,Generally A Fantastic Dining Experience Due To Waiting Staff  Cuisine And Location. A Minor Criticism We Felt The Tables Should Have Been Cleared Of Both Empty Side Plates And The Wooden Boards Which The Complimentary Sides Arrived On Prior To The Starters Being Served.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Exceeded,,,Female,35-44,Special Offers,Accommodation,,,,,,Christmas,Roberts,
43,Complete,06/01/2014 07:32,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,Trip Advisor,,Called Direct,Excellent,Definitely Yes,Definitely Yes,We Had A Great Stay At Lewtrenchard Manor With Our Dog Chloe - Despite The Inclement Weather!  Our Dog Is Our Baby  So We Always Appreciate Clean  Welcome And (A Bit Of Luxury) Accommodation And Good Pubs In The Uk For Our Leisure Trips Where Dogs Are Allowed. The Disabled Room (Although We Are Not Disabled) Was Warm.  The Big Bed (A Combination Of 2 Single Beds) Was Comfortable.  We Liked The White Crispy Linen.  The Bathroom Was Clean - We Liked The Strong Water Pressures From The Shower (Most Uk Hotels We Have Stayed At Tend To Have Very Weak Water Pressures). One Thing We Thought Could Enhance Our Stay Was Tea Making Facilities In The Room - Eg Cups And A Jug / Kettle. Overall  We Had A 5* Stay.  Thank You!,,,,None.  Jo At Reception Emailed Us The Confirmation Promptly.,Agree,Neither Agree Nor Disagree,Agree,We Have Mentioned Tea Making Facilities In Room.,Yes,,,,Bar Menu,,,Agree,Strongly Agree,Agree,Our Dog Chloe Was Allowed In The Bar With Us - We Liked To Have Her With Us  Instead Of Leaving Her In The Room.  She Is A Well Behaved Little Dog  Just Sat Quietly With Us While We Dined.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,All The Staff Were Great!,,Strongly Agree,Exceeded,None,None,Female,55-64,,,,,,,,,,
44,Complete,06/01/2014 11:09,Leisure,Stayed Previously,,,,,,,,,,Was Married At Lewtrenchard And Had Exclusive Use Of The Manor On December 28Th 2010,Called Direct,Excellent,Definitely Yes,Definitely Yes,Our Experience At Lewtrenchard Was Outstanding. The Murray Family Have Brought A 'Family' Feel To The Business That Is Refreshing And Has An 'Old World' Charm That Outstrips Many Other Hotels. The Quality Of The Von Essen Experience Has Not Been Compromised. The Service From All Staff At Lewtrenchard Is Superb.,Strongly Agree,Strongly Agree,Strongly Agree,Overall  A Superb Experience In All Areas.,Strongly Agree,Agree,Strongly Agree,Our Stay In The Merrial Suite Was Fantastic. However  Heavy Rain Resulted In Water Leaking Down The Bedroom Wall And There Is Also Mould On The Wall. Furthermore  The Water Pressure In The Bathroom (Toilet  Shower And Bath) Was Low. As Mentioned This Did Not Compromise Our Stay  Which We Throughly Enjoyed. ,Yes,,Table D’Hôte,,,,,Agree,Strongly Agree,Agree,N/A,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,The Receptionists Who Were There On Our Arrival On December 28Th And Departure On December 30Th - They Were Very Attentive  Friendly And Attentive.,Strongly Agree,Strongly Agree,Met,More Christmas Decorations In The Reception And Living Room And Also In The Bedrooms. Perhaps Instead Of Champagne On Arrival During The Christmas Period It Is Mulled Wine For A More Festive Flavour?,My Wife And I Absolutely Love Staying At Lewtrenchard And Hope Our Feedback Helps The Hotel  (And The Murray Family) To Continue Going From Strength To Strength And Giving Customers A Service And Experience That Is Simply Outstanding. ,Male,35-44,Special Offers,Accommodation,Restaurant,,Events,Conferences,Relaxation Therapy,Christmas,Robert And Joanne Byers,
45,Partial,06/01/2014 11:17,Other: We Had Our Honeymoon At Lewtremchard And We Wanted To Celebrate Our 35Th Wedding Anniversary With You.,Stayed Previously,,,,,,,,,,,Other: ,Excellent,Definitely Yes,Definitely Yes,A Little Bit Of Heaven.  It Was Lovely To Relive A Very Happy Experience For Us.,Strongly Agree,Strongly Agree,Strongly Agree,We Were Hoping To Be Housed In The Main Manor Building Where We Spent Our Honeymoon But As I Have Problems Walking Now It Was Really More Convenient To Have A Walk -In Shower.  It Was A Lovely Room.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Complete,06/01/2014 11:27,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,Trip Advisor,,Called Direct,Excellent,Definitely Yes,Definitely Yes,We Had A Very Nice 3 Days.,Agree,Agree,Agree,,Agree,Agree,Agree,,Yes,,,,,,,Agree,Strongly Agree,Agree,We Found Dinner Good But Our Main Course On The Saturday Could Have Been Warmer Though Very Good Quality.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,We Thought Breakfast Staff Very Attentive. The Mature  Receptonist Was Excellent!,Agree,Agree,Met,,Great We Were Able To Bring Our Dog.,Female,45-54,Special Offers,,,,Events,,,,Deirdre Mcalpin,
47,Complete,06/01/2014 11:33,Other: We Stayed Here For Our Honeymoon 35 Years Ago And Celebrated Our Anniversary With You.,Stayed Previously,,,,,,,,,,,Other: With Late Rooms,Excellent,Definitely Yes,Definitely Yes,A Little Bit Of Heaven.,Strongly Agree,Strongly Agree,Strongly Agree,It Was Very Satisfactory.,Strongly Agree,Strongly Agree,Strongly Agree,We Had Hoped To Stay In The Main Building But We Were More Than Happy In Seymour Where I Had The Use Of A Walkin Shower.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Agree,We Found The Portions Were A Little Small But Extremely Well Presented.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Mr & Mrs Murray Were Very Attentive And Friendly.,Strongly Agree,Strongly Agree,Exceeded,No It Was Very Satisfactory In All Respects.,We Hope To See You Again With Not Such A Long Delay This Time.,Female,65+,Special Offers,,,,,,,,Nr & Mrs Peter Taylor,
48,Complete,06/01/2014 11:52,Private Celebration,Stayed Previously,,,,,,,,,,,Www.Lewtrenchard.Co.Uk,Excellent,Yes,,Very Pleasant Indeed & Will Certainly Look Forward To Another Visit.,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Agree,Good Menu Choice On Offer. ,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Neither Agree Nor Disagree,Agree,Exceeded,Free Whisky!,,Male,45-54,,,,,,,,,,
49,Complete,06/01/2014 13:59,Other: Weekend Getaway,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,Trip Advisor,,Other: ,Excellent,Definitely Yes,Definitely Yes,10/10 The Most Fantastic 2 Night Stay  Amazing Food  Beautiful Room  Great Staff Really Hardworking And Extremely Attentive. Literally Couldn't Fault The Stay At All L  Brilliant! ,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Perfectly Clean  Never Stayed In Such An Immaculate Room And Bathroom. Turndown On The Evening Was Superb And The Morning Refresh Of The Room. Really Fantastic Staff Who Cleaned Our Room - Was Such A High Standard,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Simply The Best Food I've Ever Tasted In A Small Hotel In The Uk. ,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Receptionist Jenny I Think Her Name Was - Was Really Kind And Lovely And All The Staff  Especially The Waiting Staff On The Evening Meal,Strongly Agree,Strongly Agree,Exceeded,,,Female,25-34,Special Offers,,Restaurant,Weddings,,,,Christmas,Joy Salvage,
50,Complete,06/01/2014 15:03,Leisure,,,,,,,,,,,Search For Local Aa Rosette Restaurants,Www.Lewtrenchard.Co.Uk,Excellent,Definitely Yes,Definitely Yes,Attentive And Friendly Staff  Polite And Professional. Excellent Attention To Detail Eg Water In Rooms Refilled During Stay  Bedsheets Turned Down.,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,,,,Private Dining,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,I Was Impressed That Duncan As General Manager / Son Of The Family Was So Involved & Courteous,Strongly Agree,Strongly Agree,Exceeded,,Look Forward To Staying Again Although This Is Still A Luxury For Me But I Will Be Encouraged To Look Out For Low Season Offers - Although My Wife Felt It Was So Special She Would Prefer Not To Come That Often!! Perhaps We Will Settle At 6-Monthly...,Male,25-34,Special Offers,,,,,,,,T Oxenham,
51,Complete,07/01/2014 10:36,Private Celebration,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Fantastic Atmosphere With A Friendly Attitude Towards Dogs And Extremely Relaxing. Great Staff & Service  Couldn't Ask For Anything More. We Thoroughly Enjoyed Our Stay.,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Duncan And The Lady On Reception,Strongly Agree,Strongly Agree,Exceeded,,,Male,55-64,Special Offers,Accommodation,,,,,,,D Phillips ,
52,Complete,07/01/2014 16:35,Private Celebration,,Recommendation/Word Of Mouth,,,,,,,,,,Other: ,Excellent,Definitely Yes,Definitely Yes,Delightful. Exactly As We Would Have Wished.,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Agree,,Yes,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Exceeded,,,Female,55-64,Special Offers,,,,,,,,,
53,Complete,07/01/2014 18:40,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Excelent Accommodation  Excelent Dining & Excelent Hosts Can Be Found At This Lovely  Family Run  Dog Friendly Country House Hotel.,Strongly Agree,Strongly Agree,Strongly Agree,Thank You For Moving Our Booking At Short Notice.,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Agree,Strongly Agree,Sometimes Feel Rushed When Having Pre-Dinner Drinks In The Bar.    Arriving In The Bar Well Ahead Of Our Booked Dining Time  So As To Have A Lazy & Relaxed Tipple  We Are Invariably Called In To The Dining Room Ahead Of Time. Even When We Have Explained That We Are Down Early For A Leisurely Drink & Have Asked Staff [Not Family] Not To Invite Us Through To The Dinning Room Early  The Waiter Collected Us 20 Mins Ahead Of Time.  Would It Be Possible For Staff To Double Check When Taking Our Menu Selections Whether Guests Would Like To Be Seated Earlier Or Whether The Guests Would Prefer To Relax In The Bar Until Their Original Reservation Time.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,The Lady Who Usually Manages Reception For The Family.  She Is Always So Welcoming.,Strongly Agree,Strongly Agree,Met,Only The Previous Comment About Dinner Timings.,Please Give Spencer A Good Scratch For Us.,Female,45-54,Special Offers,,,,Events,,,,Shepherd,
54,Partial,07/01/2014 18:29,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Partial,08/01/2014 17:43,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Good,Yes,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Complete,09/01/2014 15:04,Leisure,,,,,,,,,,Trip Advisor,,Other: ,Excellent,Yes,Yes,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Neither Agree Nor Disagree,Agree,,Yes,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Exceeded,The Drinks Were A Little On The Pricey Side! ,Thank You  - It Was Wonderful. ,Female,25-34,,,,,,,,,Hannah Higginson,
57,Complete,10/01/2014 03:36,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Called Direct,Excellent,Maybe,Definitely Yes,My Wife And I Were Very Impressed By The Friendly Welcome And Service From The Family And The Staff Of The Hotel. Our Room Had Real Character & Was Very Comfortable While Our Evening Meal Was Delicious. It Is Unlikely That We Shall Be Able To Stay Again Only Because It Is Not Far From Our In-Laws And We Broke Our Journey Only Because Of My Recent Operation Which Necessitated My Wife's Doing All The Driving. Nevertheless  We Have Already Spoken To Friends In Glowing Terms About Our Stay & Are Delighted That We Chose To Begin Our Christmas Break By Staying With You. Happy New Year & Wishing You A Successful 2014,Strongly Agree,Strongly Agree,Strongly Agree,No,Strongly Agree,Agree,Strongly Agree,No,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Yes  The Lady On Reception On The Afternoon Of Our Arrival On Sunday  22Nd December  Who Was Also On Duty The Next Morning At Our Departure. I'm Sorry That I Have Forgotten Her Name. We Also Much Enjoyed Our Pre- Meal Drinks With Mr & Mrs Murray. The Young Waiter & Waitress On Duty For Our Evening Meal Were Very Professional & Attentive,Strongly Agree,Strongly Agree,Exceeded,No,No,Male,65+,,,,,,,,,,... Please Select The Box
58,Partial,17/01/2014 12:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Complete,17/01/2014 14:33,Private Celebration,,,,,,,,,,Trip Advisor,Good Food Guide,Called Direct,Excellent,Definitely Yes,Definitely Yes,Fantastic.  Everything Absolutely Spot On!!  ,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Beautifully Decorated And Appointed But The Bathroom Could Do With Upgrading.  St Gertrude.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,The Food Was Marvellous  The Young Waiter Was Extreme Knowledgeable  Accomplished And Friendly.  The Menu Was Superb. Lots Of Choice And Some Wonderful Ingredients.  We Would Love To Come Back?,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree, The Young Waiter Who Brought Me Coffee During The Afternoon And The Other Young Waiter At Dinner.  They Were Both Efficient  Friendly And Well Trained.,Strongly Agree,Strongly Agree,Exceeded,Nothing,,Female,55-64,,,,,,,,,Judy And David Charlton,
60,Complete,17/01/2014 14:38,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Duncan Made Us Most Welcome  Food And Accommodation Excellent. ,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Strongly Agree,Flaking Paint In The Entrance To The Suite Was Not Very Welcoming  Although The Rest Of The Suite Was Superb. ,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,Met,,,Female,55-64,,,,,,,,,,
61,Partial,18/01/2014 08:01,Private Celebration,Stayed Previously,,,,,,,,,,,Emailed Direct,Good,Yes,Yes,Not Quite As Good As Previously,Agree,Agree,Agree,It Was Cold Outside And So We Were Looking Forward To A Nice Cosy Warm Afternoon In Our Room - Unfortunately  The Boiler Had An Issue And The Room Was Freezing - Not A Good Start To Our Stay To Be Honest. But Duncan Was Quick Enough To Sort This Out For Us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
