,Filters Applied,,,,,,,
,Status:,Fully & Part-Completed,,,,,,
,,,,,,,,
2,How Did You Hear About Us?,,,,,,,
,,Responses,Percent,,,,,
,Stayed Previously,180,20.6%,,,,,
,Recommendation/Word Of Mouth,154,17.6%,,,,,
,The Feathers Emails,25,2.9%,,,,,
,Advertisement,30,3.4%,,,,,
,Www.Feathers.Co.Uk,29,3.3%,,,,,
,Internet Searches (E.G. Google  Yahoo  Etc.),184,21.1%,,,,,
,Magazine/Newspaper Article,30,3.4%,,,,,
,Organisation Booked,8,0.9%,,,,,
,Social Media (E.G. Facebook  Twitter  Etc),14,1.6%,,,,,
,Trip Advisor,40,4.6%,,,,,
,Other,14,1.6%,,,,,
,,,,,,,,
,Total Clicks:,962,,,,,,
,Total Responses:,874,,,,,,
,,,,,,,,
