,Filters Applied,,,,,,,
,Status:,Fully & Part-Completed,,,,,,
,,,,,,,,
14,In Regards To Your Dining Experience...,,,,,,,
,,Strongly Agree,Agree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,,
,The Food Was Excellent,45%,36%,13%,5%,1%,,
,,346,279,102,37,9,,
,The Service Was Friendly & Professional,24%,20%,4%,2%,1%,,
,,367,305,58,34,13,,
,The Overall Dining Experience Was Exceptional,10%,13%,6%,4%,1%,,
,,221,295,147,90,15,,
,The Breakfast Was Very Good,10%,9%,3%,1%,0%,,
,,297,283,101,36,14,,
,,,,,,,,
