,Filters Applied,,,,,,,
,Status:,Fully & Part-Completed,,,,,,
,,,,,,,,
23,Do You Have Any Further Comments?,,,,,,,
,Total Responses:,322,,,,,,
,Not Answered:,0,,,,,,
,,,,,,,,
,----------------------,,,,,,,
,4,None,,,,,,
,5,We Did Enjoy The Feathers And Would Return But Would Probably Eat Out Next Time For Dinner.,,,,,,
,6,I Think It's Covered Under Dining Experience.,,,,,,
,10,On Arrival It Was Explained That There Are No Tea & Coffee Making Facilities Within The Room But That We Could Request Them At Any Time And They Would Be Brought Into The Room. There Was No Mention That A Fee Would Be Payable And When The Bill Was Provided At Checkout There Were Additional Costs Of Â£15.00 For Drinks Which We Thought Should Have Been Complimentary.,,,,,,
,12,I Did You A Review Ln Trip Advisor And Had Confirmation But Cannot Find It.,,,,,,
,14,Improved Wifi Signal In Rooms Could Be A Great Plus,,,,,,
,18,Computer Glitch With The Account That Was Tactfully And Pleasantly Dealt With By The Check Out Receptionist,,,,,,
,23,Loovly Place,,,,,,
,28,As A Family We Have Used The Feathers For 3 Events  1 Went Well The Latest 2 Fell Short Of Expectation. The Feathers Needs To Provide A More Coherent And Professional Service To Its Customers To Warrant The Prices Being Charged.,,,,,,
,37,Thought Room A Bit Overpriced. We Had It On A Good Rate From Booking.Com But Even So I Thought It A Little Overpriced,,,,,,
,41,Gin Bar Far Too Expensive,,,,,,
,42,After Leaving You I Went Elsewhere For A Couple Of Days. It Was Irritating  Upon Getting Home  To Find Two Emails Asking For This Survey To Be Completed. I Wouldn't Really Describe It As 'Short'  Either.,,,,,,
,43,Very Good Impression Of The Feathers And Would Recommend It To Acquaintances.,,,,,,
,45,We'll Be Back. The Â£60 Allowance For Dinner Was An Excellent Marketing Idea. Made Value For Money Great. Breakfast Was A Pleasure. Didn't Eat For The Rest Of The Day.,,,,,,
,46,It Was Disappointing On Checking Out To Find A 99 Pound Entry That Was Not Applicable.  This Was Quickly Rectified But Had The Effect Of Distracting Us From The 22 Pound Charge For Risotto That Was Listed On The Menu As 14 Pounds And A 4 Pound Entry For A Pinot Which We Did Not Have.   It Would Appear Reasonable To Suggest That The Account Section Of Your Orgnization Needs To Improve.,,,,,,
,50,Small Rooms Need Some Furniture Taking Out So There Is More Room To Walk Round The Room.,,,,,,
,51,I Am Unsure Of The Room Number But We Stayed One Night On The 8Th May. Mr & Mrs Cole. Email Address Sm.Cole@Hotmail.Co.Uk.,,,,,,
,54,Most Important Aspect I Believe Is To Ensure A Warm Greeting On Arrival - Which We Didn't Get After An Almost 2 Hour Drive To Get There.,,,,,,
,56,We Shall Definitely Return.,,,,,,
,68,Thank You For A Very Memorable And Relaxing Stay At The Feathers. We Will Definitely Be Returning In The Future And Look Forward To Seeing You Again.,,,,,,
,69,Such A Shame That There Were A Few Little Grievances As Otherwise It Was Really Excellent!,,,,,,
